,ids,predictions
0,0,0.08792306
1,1,0.13848244
2,2,0.03534725
3,3,0.02495205
4,4,0.049616862
5,5,0.040943388
6,6,0.081272975
7,7,0.27930605
8,8,0.27986845
9,9,0.012391759
10,10,0.05260107
11,11,0.018489357
12,12,0.26496848
13,13,0.16657017
14,14,0.03449233
15,15,0.057450388
16,16,0.06158591
17,17,0.24962156
18,18,0.03417266
19,19,0.032319605
20,20,0.040078588
21,21,0.038995456
22,22,0.04420812
23,23,0.071736045
24,24,0.014443555
25,25,0.127604
26,26,0.04463538
27,27,0.036437623
28,28,0.016690752
29,29,0.04505505
30,30,0.03935535
31,31,0.052039094
32,32,0.036483843
33,33,0.038087163
34,34,0.029434387
35,35,0.01134078
36,36,0.067329094
37,37,0.058733337
38,38,0.0103671495
39,39,0.06319209
40,40,0.012632608
41,41,0.043311745
42,42,0.0323924
43,43,0.053007975
44,44,0.07839892
45,45,0.78825366
46,46,0.015862621
47,47,0.061624486
48,48,0.047625083
49,49,0.019156411
50,50,0.28053218
51,51,0.106563665
52,52,0.017220272
53,53,0.019987473
54,54,0.11135434
55,55,0.03745536
56,56,0.14806765
57,57,0.12988703
58,58,0.055050775
59,59,0.024846459
60,60,0.07863696
61,61,0.042740047
62,62,0.39354926
63,63,0.02853249
64,64,0.02048412
65,65,0.02049191
66,66,0.03485948
67,67,0.06494171
68,68,0.64985913
69,69,0.022783736
70,70,0.054249864
71,71,0.010730348
72,72,0.9236163
73,73,0.6478187
74,74,0.031096062
75,75,0.0035838373
76,76,0.009938282
77,77,0.013469942
78,78,0.021570126
79,79,0.65025157
80,80,0.17945297
81,81,0.056426443
82,82,0.044782523
83,83,0.053482715
84,84,0.28077638
85,85,0.11432332
86,86,0.064221516
87,87,0.031790823
88,88,0.010891452
89,89,0.009138552
90,90,0.020953605
91,91,0.18635285
92,92,0.01844845
93,93,0.06132683
94,94,0.09093817
95,95,0.039424334
96,96,0.08160872
97,97,0.028414547
98,98,0.005048383
99,99,0.38728148
100,100,0.020698175
101,101,0.06449934
102,102,0.06320752
103,103,0.031344563
104,104,0.023953455
105,105,0.016763948
106,106,0.013848512
107,107,0.019981813
108,108,0.71694297
109,109,0.9807977
110,110,0.036426358
111,111,0.062427174
112,112,0.042477746
113,113,0.1108028
114,114,0.33302864
115,115,0.052265022
116,116,0.056628067
117,117,0.033517096
118,118,0.16449986
119,119,0.08607845
120,120,0.060755655
121,121,0.12977608
122,122,0.012037668
123,123,0.044489834
124,124,0.11534977
125,125,0.054437093
126,126,0.42545104
127,127,0.055385534
128,128,0.022977954
129,129,0.07544624
130,130,0.018554118
131,131,0.03963608
132,132,0.017743446
133,133,0.087777615
134,134,0.11056521
135,135,0.054289643
136,136,0.01640738
137,137,0.17487985
138,138,0.03149086
139,139,0.002031252
140,140,0.04966086
141,141,0.01765541
142,142,0.023046672
143,143,0.03607673
144,144,0.6870888
145,145,0.016102172
146,146,0.09774572
147,147,0.3557442
148,148,0.03318354
149,149,0.023703381
150,150,0.019322217
151,151,0.029172659
152,152,0.099890895
153,153,0.06905072
154,154,0.29964924
155,155,0.06847168
156,156,0.07158187
157,157,0.01583716
158,158,0.7670511
159,159,0.19733965
160,160,0.1738043
161,161,0.04825027
162,162,0.044266403
163,163,0.9458644
164,164,0.16329363
165,165,0.030576613
166,166,0.012088433
167,167,0.08768781
168,168,0.030399824
169,169,0.029783737
170,170,0.032379877
171,171,0.01503423
172,172,0.2484052
173,173,0.9183421
174,174,0.05039865
175,175,0.0494809
176,176,0.013073393
177,177,0.030162746
178,178,0.012256459
179,179,0.06864483
180,180,0.5536093
181,181,0.026659979
182,182,0.021902474
183,183,0.72791505
184,184,0.0887459
185,185,0.031064713
186,186,0.19258016
187,187,0.05598922
188,188,0.3267337
189,189,0.045073096
190,190,0.015085893
191,191,0.028925546
192,192,0.035412278
193,193,0.09114542
194,194,0.13716787
195,195,0.05507865
196,196,0.013110643
197,197,0.09414425
198,198,0.13753481
199,199,0.008070259
200,200,0.09327075
201,201,0.014708277
202,202,0.029540587
203,203,0.05082253
204,204,0.20285235
205,205,0.26375732
206,206,0.2905312
207,207,0.078958265
208,208,0.06015615
209,209,0.020569978
210,210,0.14144972
211,211,0.13480209
212,212,0.16543935
213,213,0.29319322
214,214,0.01994425
215,215,0.061452117
216,216,0.024949852
217,217,0.06396117
218,218,0.69063663
219,219,0.022517521
220,220,0.12098871
221,221,0.46453735
222,222,0.31009984
223,223,0.009994492
224,224,0.04657115
225,225,0.2409406
226,226,0.5767183
227,227,0.66882616
228,228,0.0921131
229,229,0.02994816
230,230,0.049010467
231,231,0.087564014
232,232,0.0099347485
233,233,0.015536507
234,234,0.04002601
235,235,0.019612411
236,236,0.09793621
237,237,0.08013699
238,238,0.09097204
239,239,0.059104405
240,240,0.054053802
241,241,0.10028529
242,242,0.005835325
243,243,0.037877496
244,244,0.03722378
245,245,0.013681741
246,246,0.052912276
247,247,0.045829143
248,248,0.03464866
249,249,0.5233738
250,250,0.05082192
251,251,0.026005069
252,252,0.062081624
253,253,0.06443323
254,254,0.6518839
255,255,0.09130649
256,256,0.03886195
257,257,0.09722497
258,258,0.04595953
259,259,0.023437224
260,260,0.44457918
261,261,0.058816917
262,262,0.00972477
263,263,0.03887008
264,264,0.028483499
265,265,0.022761542
266,266,0.07027279
267,267,0.15813525
268,268,0.045156762
269,269,0.047650672
270,270,0.0016831573
271,271,0.9574093
272,272,0.043850865
273,273,0.03023065
274,274,0.011413124
275,275,0.055550978
276,276,0.032906402
277,277,0.0053305086
278,278,0.061459318
279,279,0.024595957
280,280,0.05407645
281,281,0.053945884
282,282,0.007714886
283,283,0.083539985
284,284,0.018238645
285,285,0.007495611
286,286,0.07478903
287,287,0.62693995
288,288,0.017462714
289,289,0.012011084
290,290,0.03881264
291,291,0.014123622
292,292,0.034175586
293,293,0.22965567
294,294,0.03370541
295,295,0.04100623
296,296,0.005180214
297,297,0.014420792
298,298,0.016280737
299,299,0.028592043
300,300,0.03532872
301,301,0.0038199734
302,302,0.06010343
303,303,0.0075620883
304,304,0.007954918
305,305,0.011255429
306,306,0.021341005
307,307,0.06363455
308,308,0.020041423
309,309,0.5081263
310,310,0.032009467
311,311,0.027570313
312,312,0.0134985875
313,313,0.40397832
314,314,0.0445341
315,315,0.2607893
316,316,0.026234152
317,317,0.03603671
318,318,0.021245552
319,319,0.023455175
320,320,0.030204697
321,321,0.0052122106
322,322,0.685655
323,323,0.014226631
324,324,0.060757957
325,325,0.5678899
326,326,0.04594335
327,327,0.052254245
328,328,0.017524796
329,329,0.027976058
330,330,0.13184702
331,331,0.037756752
332,332,0.08020358
333,333,0.045187242
334,334,0.08021211
335,335,0.06547659
336,336,0.020934813
337,337,0.026885238
338,338,0.0074085873
339,339,0.16646622
340,340,0.04112526
341,341,0.15413338
342,342,0.10072009
343,343,0.008752124
344,344,0.00805182
345,345,0.12772135
346,346,0.03263029
347,347,0.12207475
348,348,0.058396645
349,349,0.054650508
350,350,0.040000897
351,351,0.06629992
352,352,0.09916199
353,353,0.024846373
354,354,0.054281957
355,355,0.008615158
356,356,0.035608925
357,357,0.028778715
358,358,0.024550164
359,359,0.026828112
360,360,0.041240867
361,361,0.022476485
362,362,0.0053525623
363,363,0.91561496
364,364,0.06598043
365,365,0.018847113
366,366,0.031446587
367,367,0.07715458
368,368,0.82982314
369,369,0.026564276
370,370,0.039576035
371,371,0.7495491
372,372,0.07308244
373,373,0.03507206
374,374,0.25776863
375,375,0.12547952
376,376,0.56462145
377,377,0.12408757
378,378,0.052605122
379,379,0.094447516
380,380,0.05329738
381,381,0.022707492
382,382,0.28883985
383,383,0.28265724
384,384,0.012771765
385,385,0.07014705
386,386,0.062024426
387,387,0.037836004
388,388,0.25281692
389,389,0.034106623
390,390,0.03597694
391,391,0.095682114
392,392,0.05481054
393,393,0.02082876
394,394,0.023281116
395,395,0.23470709
396,396,0.038283408
397,397,0.09050692
398,398,0.15294276
399,399,0.7119829
400,400,0.094883546
401,401,0.0566686
402,402,0.04595773
403,403,0.015949031
404,404,0.037481852
405,405,0.03339036
406,406,0.027849909
407,407,0.016248183
408,408,0.15016763
409,409,0.0281476
410,410,0.042007904
411,411,0.026882319
412,412,0.09423348
413,413,0.025749994
414,414,0.03053714
415,415,0.76668996
416,416,0.10971453
417,417,0.03780299
418,418,0.09686059
419,419,0.029560128
420,420,0.020261187
421,421,0.35242146
422,422,0.14763899
423,423,0.07356552
424,424,0.59299463
425,425,0.088380985
426,426,0.022346772
427,427,0.108128175
428,428,0.10372974
429,429,0.14270632
430,430,0.0868341
431,431,0.030255623
432,432,0.05657068
433,433,0.04207263
434,434,0.02113353
435,435,0.041688196
436,436,0.036071647
437,437,0.06446434
438,438,0.014348794
439,439,0.13796577
440,440,0.5099433
